region,spp.name,extant,env.opt,time.of.origin,time.of.extinction,time.of.sp.origin,time.of.sp.extinction,reg.env,carry.cap
6,88,0,33.5055228217179,603,603,498,30001,21.8181818181818,10000
6,679,0,30.6156615717241,662,663,653,30001,21.8181818181818,10000
6,885,0,31.7348388613844,686,687,672,30001,21.8181818181818,10000
6,940,0,30.7111184648723,690,691,677,30001,21.8181818181818,10000
6,940,0,30.7111184648723,692,693,677,30001,21.8181818181818,10000
6,982,0,32.133025169064,718,719,681,30001,21.8181818181818,10000
6,1569,0,30.3083518568965,720,721,717,30001,21.8181818181818,10000
6,1569,0,30.3083518568965,723,724,717,30001,21.8181818181818,10000
6,1756,0,28.9025762688834,732,753,725,30001,21.8181818181818,10000
6,1163,0,30.8916337478719,733,734,695,30001,21.8181818181818,10000
6,1010,0,32.5242299007008,736,737,683,30001,21.8181818181818,10000
6,1163,0,30.8916337478719,736,737,695,30001,21.8181818181818,10000
6,1227,0,31.60038026972,737,738,700,30001,21.8181818181818,10000
6,1163,0,30.8916337478719,741,742,695,30001,21.8181818181818,10000
6,1261,0,32.6592648312109,746,747,702,30001,21.8181818181818,10000
6,954,0,32.1640037881392,747,748,679,30001,21.8181818181818,10000
6,1977,0,31.1377950767637,747,748,734,30001,21.8181818181818,10000
6,124,0,32.7558382670771,750,751,524,30001,21.8181818181818,10000
6,874,0,32.4385803454953,752,753,671,30001,21.8181818181818,10000
6,1163,0,30.8916337478719,754,755,695,30001,21.8181818181818,10000
6,1345,0,31.4749094836486,757,758,706,30001,21.8181818181818,10000
6,1162,0,31.1389459680207,761,762,695,30001,21.8181818181818,10000
6,1587,0,31.839179841742,762,763,718,30001,21.8181818181818,10000
6,940,0,30.7111184648723,762,763,677,30001,21.8181818181818,10000
6,1092,0,31.8580594336942,763,764,689,30001,21.8181818181818,10000
7,33,0,35.1131725750977,498,499,421,30001,25.4545454545455,10000
7,41,0,33.7575878406081,458,459,443,30001,25.4545454545455,10000
7,13,0,34.8926154850179,477,478,344,30001,25.4545454545455,10000
7,6,0,34.5075419223446,431,432,294,30001,25.4545454545455,10000
7,21,0,34.9197564315279,402,403,390,30001,25.4545454545455,10000
7,6,0,34.5075419223446,443,444,294,30001,25.4545454545455,10000
7,52,0,34.6618189916829,508,509,459,30001,25.4545454545455,10000
7,32,0,35.7424297637628,488,489,419,30001,25.4545454545455,10000
7,6,0,34.5075419223446,416,417,294,30001,25.4545454545455,10000
7,37,0,34.6227379552148,453,454,439,30001,25.4545454545455,10000
7,1,0,36.3636363636364,55,56,0,30001,25.4545454545455,10000
7,90,0,33.2008517759557,521,525,499,30001,25.4545454545455,10000
7,26,0,34.7574614913368,444,445,400,30001,25.4545454545455,10000
7,33,0,35.1131725750977,436,437,421,30001,25.4545454545455,10000
7,79,0,35.463770836339,503,504,486,30001,25.4545454545455,10000
7,11,0,35.6522785731208,530,531,335,30001,25.4545454545455,10000
7,41,0,33.7575878406081,530,531,443,30001,25.4545454545455,10000
7,90,0,33.2008517759557,531,539,499,30001,25.4545454545455,10000
7,124,0,32.7558382670771,531,549,524,30001,25.4545454545455,10000
7,99,0,34.9929066194181,531,532,507,30001,25.4545454545455,10000
7,26,0,34.7574614913368,516,518,400,30001,25.4545454545455,10000
7,90,0,33.2008517759557,518,520,499,30001,25.4545454545455,10000
7,57,0,33.4115690493175,518,519,464,30001,25.4545454545455,10000
7,88,0,33.5055228217179,535,537,498,30001,25.4545454545455,10000
7,57,0,33.4115690493175,537,539,464,30001,25.4545454545455,10000
7,17,0,35.6291014971152,462,463,372,30001,25.4545454545455,10000
7,41,0,33.7575878406081,503,505,443,30001,25.4545454545455,10000
7,82,0,34.8470570074541,538,539,490,30001,25.4545454545455,10000
7,75,0,34.4079094183507,542,543,482,30001,25.4545454545455,10000
7,112,0,33.6298927764838,543,544,517,30001,25.4545454545455,10000
7,90,0,33.2008517759557,544,545,499,30001,25.4545454545455,10000
7,37,0,34.6227379552148,483,484,439,30001,25.4545454545455,10000
7,52,0,34.6618189916829,547,548,459,30001,25.4545454545455,10000
7,124,0,32.7558382670771,555,574,524,30001,25.4545454545455,10000
7,33,0,35.1131725750977,442,443,421,30001,25.4545454545455,10000
7,105,0,34.7277249039207,534,535,512,30001,25.4545454545455,10000
7,41,0,33.7575878406081,491,492,443,30001,25.4545454545455,10000
7,57,0,33.4115690493175,487,489,464,30001,25.4545454545455,10000
7,88,0,33.5055228217179,559,561,498,30001,25.4545454545455,10000
7,75,0,34.4079094183507,498,500,482,30001,25.4545454545455,10000
7,148,0,34.4667448406755,562,563,539,30001,25.4545454545455,10000
7,6,0,34.5075419223446,473,475,294,30001,25.4545454545455,10000
7,37,0,34.6227379552148,504,505,439,30001,25.4545454545455,10000
7,198,0,34.2863233829769,567,568,559,30001,25.4545454545455,10000
7,57,0,33.4115690493175,506,508,464,30001,25.4545454545455,10000
7,41,0,33.7575878406081,508,509,443,30001,25.4545454545455,10000
7,200,0,34.7281611710741,573,574,560,30001,25.4545454545455,10000
7,195,0,34.8146012810472,573,574,558,30001,25.4545454545455,10000
7,112,0,33.6298927764838,574,577,517,30001,25.4545454545455,10000
7,98,0,35.7120990362957,574,575,506,30001,25.4545454545455,10000
7,26,0,34.7574614913368,492,493,400,30001,25.4545454545455,10000
7,183,0,33.8573922483654,576,577,554,30001,25.4545454545455,10000
7,155,0,34.5991023869312,577,580,542,30001,25.4545454545455,10000
7,226,0,37.2004028653882,578,578,568,30001,25.4545454545455,10000
7,90,0,33.2008517759557,579,585,499,30001,25.4545454545455,10000
7,124,0,32.7558382670771,579,592,524,30001,25.4545454545455,10000
