,min_latitude,max_latitude,min_common_depth,max_common_depth
Sebastes_minor,NA,NA,NA,NA
Sebastes_owstoni,NA,NA,NA,NA
Sebastes_steindachneri,NA,NA,NA,NA
Sebastes_glaucus,NA,NA,NA,NA
Sebastes_melanostictus,33,61,84,490
Sebastes_aleutianus,44,60,45,439
Sebastes_brevispinis,28,66,100,300
Sebastes_borealis,34,61,300,500
Sebastes_iracundus,NA,NA,NA,NA
Sebastes_flammeus,NA,NA,NA,NA
Sebastes_matsubarae,NA,NA,NA,NA
Sebastes_proriger,32,66,150,275
Sebastes_wilsoni,32,60,60,150
Sebastes_variegatus,45,55,100,300
Sebastes_emphaeus,38,60,10,366
Sebastes_zacentrus,33,60,100,300
Sebastes_alutus,24,64,200,450
Sebastes_viviparus,NA,NA,NA,NA
Sebastes_fasciatus,NA,NA,NA,NA
Sebastes_norvegicus,NA,NA,NA,NA
Sebastes_mentella,NA,NA,NA,NA
Sebastes_baramenuke,NA,NA,NA,NA
Sebastes_variabilis,50,60,100,300
Sebastes_ciliatus,50,60,10,153
Sebastes_polyspinis,54,66,100,200
Sebastes_reedi,38,59,180,275
Sebastes_crameri,32,66,140,210
Sebastes_inermis,NA,NA,NA,NA
Sebastes_thompsoni,NA,NA,NA,NA
Sebastes_joyneri,NA,NA,NA,NA
Sebastes_oblongus,NA,NA,NA,NA
Sebastes_hubbsi,NA,NA,NA,NA
Sebastes_pachycephalus,NA,NA,NA,NA
Sebastes_taczanowskii,NA,NA,NA,NA
Sebastes_schlegelii,NA,NA,NA,NA
Sebastes_vulpes,NA,NA,NA,NA
Sebastes_trivittatus,NA,NA,NA,NA
Sebastes_scythropus,NA,NA,NA,NA
Sebastes_kiyomatsui,NA,NA,NA,NA
Sebastes_miniatus1,28,54,50,150
Sebastes_miniatus2,NA,NA,NA,NA
Sebastes_pinniger,31,65,80,200
Sebastes_rufus,40,46,90,360
Sebastes_rufinanus,32,34,180,200
Sebastes_moseri,31,35,50,220
Sebastes_hopkinsi,30,42,30,150
Sebastes_ovalis,29,47,60,150
Sebastes_spinorbis,NA,NA,NA,NA
Sebastes_exsul,NA,NA,NA,NA
Sebastes_constellatus,25,38,60,150
Sebastes_capensis,NA,NA,NA,NA
Sebastes_oculatus,NA,NA,NA,NA
Sebastes_notius,25,29,165,250
Sebastes_lentiginosus,27,34,70,80
Sebastes_umbrosus,25,37,45,60
Sebastes_rosaceus,27,48,40,150
Sebastes_simulator,29,36,150,200
Sebastes_helvomaculatus,28,60,100,350
Sebastes_rosenblatti,28,40,152,274
Sebastes_chlorostictus,25,49,60,240
Sebastes_eos,25,44,76,366
Sebastes_ensifer,28,37,60,200
Sebastes_rubrivinctus,29,44,60,200
Sebastes_serriceps,28,37,6,42
Sebastes_nigrocinctus,32,61,55,275
Sebastes_babcocki,32,66,150,350
Sebastes_levis,29,40,150,300
Sebastes_melanops,34,55,12,55
Sebastes_serranoides,28,42,5,55
Sebastes_flavidus,32,60,90,180
Sebastes_entomelas,32,60,140,210
Sebastes_mystinus,31,55,5,60
Sebastes_goodei,24,54,75,325
Sebastes_jordani,23,49,150,200
Sebastes_paucispinis,31,65,50,250
Sebastes_elongatus,28,60,100,250
Sebastes_auriculatus,25,61,6,135
Sebastes_rastrelliger,29,47,0,6
Sebastes_dallii,26,37,45,90
Sebastes_nebulosus,33,57,9,90
Sebastes_caurinus,28,60,6,90
Sebastes_maliger,36,61,12,76
Sebastes_chrysomelas,28,43,1,18
Sebastes_carnatus,27,43,12,35
Sebastes_atrovirens,28,39,0,24
Sebastes_saxicolaS,27,60,100,200
Sebastes_saxicolaN,NA,NA,NA,NA
Sebastes_semicinctus,28,47,60,150
Sebastes_peduncularis,NA,NA,NA,NA
Sebastes_cortezi,NA,NA,NA,NA
Sebastes_melanosema,27,44,137,490
Sebastes_sinensis,NA,NA,NA,NA
Sebastes_diploproa,28,60,215,350
Sebastes_gilli,30,37,75,375
Sebastes_phillipsi,32,41,174,274
Sebastes_aurora,28,55,300,500
Sebastes_melanostomus,46,49,250,600
Sebastes_ruberrimus,32,53,91,180
Sebastes_macdonaldi,23,37,91,350
