"sim.id","model","name","LH","aicc","delta.aicc","w","tau0","gamma","lamb0","mu0","alpha","beta","eps"
"4065-30k","1","Equilibrium constant rate",3210.23127619876,-6418.46071669307,2114.55301500945,0,0.0398,NA,NA,NA,NA,NA,NA
"4065-30k","2","Equilibrium variable rate",3986.32233406515,-7968.63915848843,564.37457321409,0,0.0125,0.0347,NA,NA,NA,NA,NA
"4065-30k","3","Birth-death constant rates (coalescent approx)",3872.89151409043,-7741.77751853899,791.236213163536,0,NA,NA,0.0224,9.64e-10,NA,NA,NA
"4065-30k","4a","Birth-death varying speciation constant extinction (coalescent approx)",4189.31797340563,-8372.62492246584,160.388809236683,0,NA,NA,0.0223,0.0223,0.0129,NA,NA
"4065-30k","4b","Birth-death constant speciation varying extinction (coalescent approx)",3872.89149851445,-7739.77197268347,793.241759019051,0,NA,NA,0.0224,8.43e-09,NA,-0.00627,NA
"4065-30k","4c","Birth-death constant extinction fraction (coalescent approx)",4159.03590322409,-8312.06078210275,220.95294959977,0,NA,NA,0.0117,NA,0.0218,NA,0.435
"4065-30k","4d","Birth-death varying speciation and extinction (coalescent approx)",4270.51605702773,-8533.01373170252,0,1,NA,NA,0.014,0.014,0.0216,0.00937,NA
"4065-30k","5","Pure birth constant speciation (coalescent approx)",3872.89153423632,-7743.78123276819,789.232498934331,0,NA,NA,0.0224,NA,NA,NA,NA
"4065-30k","6","Pure birth varying speciation (coalescent approx)",4145.60186921138,-8287.19822878088,245.815502921643,0,NA,NA,0.0111,NA,0.017,NA,NA
"5525","1","Equilibrium constant rate",9590.70552936023,-19179.409561154,196.734057319354,0,0.27,NA,NA,NA,NA,NA,NA
"5525","2","Equilibrium variable rate",9621.41203114802,-19238.819567914,137.324050559342,0,0.244,0.00856,NA,NA,NA,NA,NA
"5525","3","Birth-death constant rates (coalescent approx)",9621.41220680151,-19238.819919221,137.323699252371,0,NA,NA,0.244,0.236,NA,NA,NA
"5525","4a","Birth-death varying speciation constant extinction (coalescent approx)",9125.32013825863,-18244.6312843854,1131.51233408798,0,NA,NA,0.132,2.78e-07,-0.0377,NA,NA
"5525","4b","Birth-death constant speciation varying extinction (coalescent approx)",9691.07630530262,-19376.1436184734,0,1,NA,NA,0.245,0.245,NA,-0.00164,NA
"5525","4c","Birth-death constant extinction fraction (coalescent approx)",9626.76308054627,-19247.5171689607,128.626449512707,0,NA,NA,0.241,NA,0.00509,NA,0.983
"5525","4d","Birth-death varying speciation and extinction (coalescent approx)",9523.21694741897,-19038.4189023342,337.724716139175,0,NA,NA,0.16,0.16,0.0101,0.0088,NA
"5525","5","Pure birth constant speciation (coalescent approx)",7956.12167060598,-15910.2418436455,3465.90177482785,0,NA,NA,0.0489,NA,NA,NA,NA
"5525","6","Pure birth varying speciation (coalescent approx)",9125.32177171185,-18246.6390490417,1129.50456943169,0,NA,NA,0.133,NA,-0.0378,NA,NA
"5525-30k","1","Equilibrium constant rate",7016.54484583884,-14031.0881991404,1069.99795322413,0,0.102,NA,NA,NA,NA,NA,NA
"5525-30k","2","Equilibrium variable rate",7352.27670445006,-14700.5489296168,400.537222747693,0,0.0623,0.0266,NA,NA,NA,NA,NA
"5525-30k","3","Birth-death constant rates (coalescent approx)",7352.27765257538,-14700.5508258674,400.535326497062,0,NA,NA,0.0623,0.0357,NA,NA,NA
"5525-30k","4a","Birth-death varying speciation constant extinction (coalescent approx)",7553.54755713819,-15101.0861523645,0,0.98,NA,NA,0.0694,0.0694,0.00807,NA,NA
"5525-30k","4b","Birth-death constant speciation varying extinction (coalescent approx)",7523.48619812211,-15040.9634343323,60.1227180321621,0,NA,NA,0.0759,0.0759,NA,-0.015,NA
"5525-30k","4c","Birth-death constant extinction fraction (coalescent approx)",7425.04598549902,-14844.0830090862,257.003143278336,0,NA,NA,0.0596,NA,0.0166,NA,0.866
"5525-30k","4d","Birth-death varying speciation and extinction (coalescent approx)",7550.57478002831,-15093.1346179573,7.95153440724971,0.02,NA,NA,0.066,0.066,0.0133,0.00818,NA
"5525-30k","5","Pure birth constant speciation (coalescent approx)",7232.8342597256,-14463.6670269139,637.419125450609,0,NA,NA,0.0395,NA,NA,NA,NA
"5525-30k","6","Pure birth varying speciation (coalescent approx)",7251.79494035844,-14499.5854014336,601.500750930933,0,NA,NA,0.0451,NA,-0.00456,NA,NA
"3865","1","Equilibrium constant rate",925.348686226809,-1848.69233467024,290.182141981243,0,0.0794,NA,NA,NA,NA,NA,NA
"3865","2","Equilibrium variable rate",1014.552639446,-2025.09014648342,113.784330168062,0,0.0494,0.0201,NA,NA,NA,NA,NA
"3865","3","Birth-death constant rates (coalescent approx)",1014.55271656445,-2025.09030072032,113.784175931161,0,NA,NA,0.0494,0.0293,NA,NA,NA
"3865","4a","Birth-death varying speciation constant extinction (coalescent approx)",1072.45238984089,-2138.87447665149,0,1,NA,NA,0.0526,0.0526,0.00692,NA,NA
"3865","4b","Birth-death constant speciation varying extinction (coalescent approx)",1063.28044029612,-2120.53057756194,18.343899089542,0,NA,NA,0.0573,0.0573,NA,-0.0135,NA
"3865","4c","Birth-death constant extinction fraction (coalescent approx)",1032.32340923417,-2058.61651543803,80.2579612134587,0,NA,NA,0.0469,NA,0.0124,NA,0.86
"3865","4d","Birth-death varying speciation and extinction (coalescent approx)",1062.39337184946,-2116.7361747988,22.1383018526858,0,NA,NA,0.0516,0.0516,0.00105,-0.014,NA
"3865","5","Pure birth constant speciation (coalescent approx)",978.088357457244,-1954.17167713111,184.702799520374,0,NA,NA,0.0309,NA,NA,NA,NA
"3865","6","Pure birth varying speciation (coalescent approx)",984.746143710489,-1965.4771550124,173.397321639082,0,NA,NA,0.036,NA,-0.00432,NA,NA
"3465","1","Equilibrium constant rate",37679.1112672415,-75356.2221235523,6188.1906834633,0,0.0825,NA,NA,NA,NA,NA,NA
"3465","2","Equilibrium variable rate",40774.2020533222,-81544.4028737254,0.00993329026096035,0.21,0.0507,0.0492,NA,NA,NA,NA,NA
"3465","3","Birth-death constant rates (coalescent approx)",40774.2070199673,-81544.4128070156,0,0.21,NA,NA,0.0508,0.00166,NA,NA,NA
