spp.name,region,extant,env.opt,time.of.origin,time.of.extinction,time.of.sp.origin,reg.env,carry.cap,time.of.sp.extinction
1,1,1,3.63636363636364,0,30001,0,3.63636363636364,40000,30001
1,3,1,3.63636363636364,4,30001,0,10.9090909090909,40000,30001
1,2,1,3.63636363636364,3,30001,0,7.27272727272727,40000,30001
2,3,1,4.19169698448328,4,30001,1,10.9090909090909,40000,30001
2,2,1,4.19169698448328,2,30001,1,7.27272727272727,40000,30001
2,1,1,4.19169698448328,1,30001,1,3.63636363636364,40000,30001
3,3,0,2.7455404100916,68,90,10,10.9090909090909,40000,30001
3,3,1,2.7455404100916,181,30001,10,10.9090909090909,40000,30001
3,3,0,2.7455404100916,26,40,10,10.9090909090909,40000,30001
3,1,1,2.7455404100916,10,30001,10,3.63636363636364,40000,30001
3,3,0,2.7455404100916,161,165,10,10.9090909090909,40000,30001
3,3,0,2.7455404100916,12,16,10,10.9090909090909,40000,30001
3,3,0,2.7455404100916,20,25,10,10.9090909090909,40000,30001
3,3,0,2.7455404100916,124,130,10,10.9090909090909,40000,30001
3,3,0,2.7455404100916,45,59,10,10.9090909090909,40000,30001
3,3,0,2.7455404100916,110,116,10,10.9090909090909,40000,30001
3,3,0,2.7455404100916,151,156,10,10.9090909090909,40000,30001
3,2,1,2.7455404100916,11,30001,10,7.27272727272727,40000,30001
3,3,0,2.7455404100916,92,95,10,10.9090909090909,40000,30001
3,3,0,2.7455404100916,133,150,10,10.9090909090909,40000,30001
4,3,1,4.9786382404996,13,30001,11,10.9090909090909,40000,30001
4,4,0,4.9786382404996,136,137,11,14.5454545454545,40000,30001
4,4,0,4.9786382404996,175,176,11,14.5454545454545,40000,30001
4,1,1,4.9786382404996,11,30001,11,3.63636363636364,40000,30001
4,4,0,4.9786382404996,128,129,11,14.5454545454545,40000,30001
4,4,0,4.9786382404996,41,42,11,14.5454545454545,40000,30001
4,4,0,4.9786382404996,75,76,11,14.5454545454545,40000,30001
4,4,0,4.9786382404996,101,102,11,14.5454545454545,40000,30001
4,2,1,4.9786382404996,12,30001,11,7.27272727272727,40000,30001
5,3,0,1.68403584675042,128,129,18,10.9090909090909,40000,30001
5,1,1,1.68403584675042,19,30001,18,3.63636363636364,40000,30001
5,3,0,1.68403584675042,142,143,18,10.9090909090909,40000,30001
5,3,0,1.68403584675042,160,161,18,10.9090909090909,40000,30001
5,3,0,1.68403584675042,99,100,18,10.9090909090909,40000,30001
5,3,0,1.68403584675042,173,174,18,10.9090909090909,40000,30001
5,3,0,1.68403584675042,69,71,18,10.9090909090909,40000,30001
5,3,0,1.68403584675042,74,75,18,10.9090909090909,40000,30001
5,3,0,1.68403584675042,72,73,18,10.9090909090909,40000,30001
5,3,0,1.68403584675042,93,94,18,10.9090909090909,40000,30001
5,2,1,1.68403584675042,25,30001,18,7.27272727272727,40000,30001
5,3,0,1.68403584675042,76,77,18,10.9090909090909,40000,30001
5,3,0,1.68403584675042,42,43,18,10.9090909090909,40000,30001
6,4,0,4.6464433788088,45,47,23,14.5454545454545,40000,30001
6,4,0,4.6464433788088,161,162,23,14.5454545454545,40000,30001
6,2,1,4.6464433788088,25,30001,23,7.27272727272727,40000,30001
6,1,1,4.6464433788088,28,30001,23,3.63636363636364,40000,30001
6,3,1,4.6464433788088,23,30001,23,10.9090909090909,40000,30001
6,4,0,4.6464433788088,67,68,23,14.5454545454545,40000,30001
6,4,0,4.6464433788088,60,63,23,14.5454545454545,40000,30001
7,1,1,3.41616961673094,39,30001,39,3.63636363636364,40000,30001
7,2,1,3.41616961673094,40,30001,39,7.27272727272727,40000,30001
7,3,1,3.41616961673094,47,30001,39,10.9090909090909,40000,30001
8,4,0,6.47722053596057,45,50,41,14.5454545454545,40000,30001
8,4,0,6.47722053596057,92,100,41,14.5454545454545,40000,30001
8,4,0,6.47722053596057,105,130,41,14.5454545454545,40000,30001
8,1,1,6.47722053596057,44,30001,41,3.63636363636364,40000,30001
8,4,0,6.47722053596057,154,179,41,14.5454545454545,40000,30001
8,4,0,6.47722053596057,134,152,41,14.5454545454545,40000,30001
8,4,0,6.47722053596057,58,84,41,14.5454545454545,40000,30001
8,2,1,6.47722053596057,41,30001,41,7.27272727272727,40000,30001
8,3,1,6.47722053596057,42,30001,41,10.9090909090909,40000,30001
9,4,0,3.49134057817634,118,119,42,14.5454545454545,40000,30001
9,1,1,3.49134057817634,42,30001,42,3.63636363636364,40000,30001
9,3,0,3.49134057817634,44,97,42,10.9090909090909,40000,30001
9,3,1,3.49134057817634,105,30001,42,10.9090909090909,40000,30001
9,4,0,3.49134057817634,111,112,42,14.5454545454545,40000,30001
9,2,1,3.49134057817634,43,30001,42,7.27272727272727,40000,30001
10,4,0,4.16674229558618,174,175,43,14.5454545454545,40000,30001
10,2,1,4.16674229558618,43,30001,43,7.27272727272727,40000,30001
10,3,1,4.16674229558618,45,30001,43,10.9090909090909,40000,30001
10,1,1,4.16674229558618,44,30001,43,3.63636363636364,40000,30001
11,1,1,3.03321234266851,46,30001,45,3.63636363636364,40000,30001
11,3,1,3.03321234266851,147,30001,45,10.9090909090909,40000,30001
11,3,0,3.03321234266851,108,144,45,10.9090909090909,40000,30001
11,3,0,3.03321234266851,55,66,45,10.9090909090909,40000,30001
11,2,1,3.03321234266851,50,30001,45,7.27272727272727,40000,30001
11,3,0,3.03321234266851,67,104,45,10.9090909090909,40000,30001
12,4,1,6.84271572023098,101,30001,46,14.5454545454545,40000,30001
12,2,1,6.84271572023098,46,30001,46,7.27272727272727,40000,30001
12,3,1,6.84271572023098,47,30001,46,10.9090909090909,40000,30001
12,1,1,6.84271572023098,49,30001,46,3.63636363636364,40000,30001
12,4,0,6.84271572023098,49,100,46,14.5454545454545,40000,30001
13,4,0,4.94854999506277,150,151,49,14.5454545454545,40000,30001
13,4,0,4.94854999506277,116,117,49,14.5454545454545,40000,30001
13,3,1,4.94854999506277,51,30001,49,10.9090909090909,40000,30001
13,4,0,4.94854999506277,123,124,49,14.5454545454545,40000,30001
13,2,1,4.94854999506277,50,30001,49,7.27272727272727,40000,30001
13,4,0,4.94854999506277,87,88,49,14.5454545454545,40000,30001
13,4,0,4.94854999506277,166,167,49,14.5454545454545,40000,30001
13,1,1,4.94854999506277,49,30001,49,3.63636363636364,40000,30001
13,4,0,4.94854999506277,98,99,49,14.5454545454545,40000,30001
14,3,1,3.70807240672297,101,30001,57,10.9090909090909,40000,30001
14,3,0,3.70807240672297,63,100,57,10.9090909090909,40000,30001
14,2,1,3.70807240672297,61,30001,57,7.27272727272727,40000,30001
14,1,1,3.70807240672297,57,30001,57,3.63636363636364,40000,30001
15,3,0,1.52724649160237,116,117,59,10.9090909090909,40000,30001
15,3,0,1.52724649160237,85,86,59,10.9090909090909,40000,30001
15,3,0,1.52724649160237,157,158,59,10.9090909090909,40000,30001
15,1,1,1.52724649160237,60,30001,59,3.63636363636364,40000,30001
15,3,0,1.52724649160237,121,122,59,10.9090909090909,40000,30001
15,2,1,1.52724649160237,63,30001,59,7.27272727272727,40000,30001
15,3,0,1.52724649160237,118,119,59,10.9090909090909,40000,30001
16,1,1,2.16213813091655,60,30001,59,3.63636363636364,40000,30001
16,3,0,2.16213813091655,178,180,59,10.9090909090909,40000,30001
16,3,0,2.16213813091655,96,98,59,10.9090909090909,40000,30001
16,3,0,2.16213813091655,94,95,59,10.9090909090909,40000,30001
16,3,0,2.16213813091655,160,163,59,10.9090909090909,40000,30001
16,3,0,2.16213813091655,113,115,59,10.9090909090909,40000,30001
16,3,0,2.16213813091655,151,153,59,10.9090909090909,40000,30001
16,2,1,2.16213813091655,62,30001,59,7.27272727272727,40000,30001
16,3,0,2.16213813091655,121,126,59,10.9090909090909,40000,30001
16,3,0,2.16213813091655,102,103,59,10.9090909090909,40000,30001
17,5,0,9.09376151003468,168,171,59,18.1818181818182,40000,30001
17,5,0,9.09376151003468,120,122,59,18.1818181818182,40000,30001
17,2,1,9.09376151003468,59,30001,59,7.27272727272727,40000,30001
17,4,1,9.09376151003468,64,30001,59,14.5454545454545,40000,30001
17,1,1,9.09376151003468,60,30001,59,3.63636363636364,40000,30001
17,3,1,9.09376151003468,63,30001,59,10.9090909090909,40000,30001
17,5,0,9.09376151003468,88,89,59,18.1818181818182,40000,30001
17,5,0,9.09376151003468,72,73,59,18.1818181818182,40000,30001
17,5,0,9.09376151003468,108,109,59,18.1818181818182,40000,30001
17,5,0,9.09376151003468,102,105,59,18.1818181818182,40000,30001
17,5,0,9.09376151003468,160,161,59,18.1818181818182,40000,30001
17,5,0,9.09376151003468,116,117,59,18.1818181818182,40000,30001
18,1,1,5.87706698320537,60,30001,60,3.63636363636364,40000,30001
18,3,1,5.87706698320537,62,30001,60,10.9090909090909,40000,30001
18,4,0,5.87706698320537,80,85,60,14.5454545454545,40000,30001
18,4,0,5.87706698320537,96,98,60,14.5454545454545,40000,30001
18,4,0,5.87706698320537,156,158,60,14.5454545454545,40000,30001
18,4,0,5.87706698320537,107,114,60,14.5454545454545,40000,30001
18,4,0,5.87706698320537,64,68,60,14.5454545454545,40000,30001
18,4,0,5.87706698320537,117,121,60,14.5454545454545,40000,30001
18,4,0,5.87706698320537,99,100,60,14.5454545454545,40000,30001
18,4,0,5.87706698320537,148,149,60,14.5454545454545,40000,30001
18,4,0,5.87706698320537,140,141,60,14.5454545454545,40000,30001
18,4,0,5.87706698320537,72,73,60,14.5454545454545,40000,30001
18,2,1,5.87706698320537,61,30001,60,7.27272727272727,40000,30001
19,3,0,2.19004898979996,134,135,62,10.9090909090909,40000,30001
19,3,0,2.19004898979996,175,177,62,10.9090909090909,40000,30001
19,3,0,2.19004898979996,118,122,62,10.9090909090909,40000,30001
19,1,1,2.19004898979996,62,30001,62,3.63636363636364,40000,30001
19,3,0,2.19004898979996,79,80,62,10.9090909090909,40000,30001
19,3,0,2.19004898979996,69,70,62,10.9090909090909,40000,30001
19,3,0,2.19004898979996,116,117,62,10.9090909090909,40000,30001
19,3,0,2.19004898979996,128,129,62,10.9090909090909,40000,30001
19,2,1,2.19004898979996,66,30001,62,7.27272727272727,40000,30001
19,3,0,2.19004898979996,167,169,62,10.9090909090909,40000,30001
19,3,0,2.19004898979996,113,115,62,10.9090909090909,40000,30001
19,3,0,2.19004898979996,124,125,62,10.9090909090909,40000,30001
19,3,0,2.19004898979996,77,78,62,10.9090909090909,40000,30001
19,3,0,2.19004898979996,136,137,62,10.9090909090909,40000,30001
20,4,0,4.98998672488697,172,173,63,14.5454545454545,40000,30001
20,2,1,4.98998672488697,99,30001,63,7.27272727272727,40000,30001
20,3,1,4.98998672488697,101,30001,63,10.9090909090909,40000,30001
20,1,1,4.98998672488697,98,30001,63,3.63636363636364,40000,30001
21,3,0,1.81034096208159,137,138,64,10.9090909090909,40000,30001
21,3,0,1.81034096208159,92,93,64,10.9090909090909,40000,30001
21,3,0,1.81034096208159,147,148,64,10.9090909090909,40000,30001
21,2,1,1.81034096208159,66,30001,64,7.27272727272727,40000,30001
21,1,1,1.81034096208159,64,30001,64,3.63636363636364,40000,30001
21,3,1,1.81034096208159,180,30001,64,10.9090909090909,40000,30001
21,3,0,1.81034096208159,130,132,64,10.9090909090909,40000,30001
21,3,0,1.81034096208159,166,168,64,10.9090909090909,40000,30001
22,3,0,2.89881633408232,82,100,64,10.9090909090909,40000,30001
22,3,0,2.89881633408232,121,142,64,10.9090909090909,40000,30001
22,3,0,2.89881633408232,73,80,64,10.9090909090909,40000,30001
22,2,1,2.89881633408232,65,30001,64,7.27272727272727,40000,30001
22,3,1,2.89881633408232,143,30001,64,10.9090909090909,40000,30001
22,3,0,2.89881633408232,66,71,64,10.9090909090909,40000,30001
22,1,1,2.89881633408232,64,30001,64,3.63636363636364,40000,30001
22,3,0,2.89881633408232,105,120,64,10.9090909090909,40000,30001
23,3,0,1.46406103819441,119,120,65,10.9090909090909,40000,30001
23,2,1,1.46406103819441,66,30001,65,7.27272727272727,40000,30001
23,3,0,1.46406103819441,109,110,65,10.9090909090909,40000,30001
23,3,0,1.46406103819441,84,86,65,10.9090909090909,40000,30001
23,3,0,1.46406103819441,91,93,65,10.9090909090909,40000,30001
23,1,1,1.46406103819441,65,30001,65,3.63636363636364,40000,30001
24,1,1,0.252592464049729,67,30001,66,3.63636363636364,40000,30001
